,character,line #,line
226,LUKE,226,"Hey, whoa, just where do you think
you're going?"
227,THREEPIO,227,"Master Luke here is your rightful
owner. We'll have no more of this
Obi-Wan Kenobi jibberish... and don't
talk to me about your mission, either.
You're fortunate he doesn't blast
you into a million pieces right here."
228,LUKE,228,"Well, come on. It's getting late. I
only hope we can get back before
Uncle Owen really blows up."
229,THREEPIO,229,"If you don't mind my saying so, sir,
I think you should deactivate the
little fugitive until you've gotten
him back to your workshop."
230,LUKE,230,"No, he's not going to try anything."
231,LUKE,231,What's wrong with him now?
232,THREEPIO,232,"Oh my... sir, he says there are
several creatures approaching from
the southeast."
233,LUKE,233,"Sandpeople! Or worst! Come on, let's
have a look. Come on."
234,LUKE,234,"There are two Banthas down there but
I don't see any... wait a second,
they're Sandpeople all right. I can
see one of them now."
235,BEN,235,"Hello there! Come here my little
friend. Don't be afraid."
236,BEN,236,"Don't worry, he'll be all right."
237,LUKE,237,What happened?
238,BEN,238,"Rest easy, son, you've had a busy
day. You're fortunate you're still
in one piece."
239,LUKE,239,"Ben? Ben Kenobi! Boy, am I glad to
see you!"
240,BEN,240,"The Jundland wastes are not to be
traveled lightly. Tell me young Luke,
what brings you out this far?"
241,LUKE,241,"Oh, this little droid! I think he's
searching for his former master...
I've never seen such devotion in a
droid before... there seems to be no
stopping him. He claims to be the
property of an Obi-Wan Kenobi. Is he
a relative of yours? Do you know who
he's talking about?"
242,BEN,242,"Obi-Wan Kenobi... Obi-Wan? Now thats
a name I haven't heard in a long
time... a long time."
243,LUKE,243,"I think my uncle knew him. He said
he was dead."
244,BEN,244,"Oh, he's not dead, not... not yet."
245,LUKE,245,You know him!
246,BEN,246,"Well of course, of course I know
him. He's me! I haven't gone by the
name Obi-Wan since oh, before you
were born."
247,LUKE,247,Then the droid does belong to you.
248,BEN,248,"Don't seem to remember ever owning a
droid. Very interesting..."
249,BEN,249,"I think we better get indoors. The
Sandpeople are easily startled but
they will soon be back and in greater
numbers."
250,LUKE,250,Threepio!
251,THREEPIO,251,"Where am I? I must have taken a bad
step..."
252,LUKE,252,"Can you stand? We've got to get out
of here before the Sandpeople return."
253,THREEPIO,253,"I don't think I can make it. You go
on, Master Luke. There's no sense in
you risking yourself on my account.
I'm done for."
254,LUKE,254,"No, you're not. What kind of talk is
that?"
255,BEN,255,"Quickly, son... they're on the move."
256,LUKE,256,"No, my father didn't fight in the
wars. He was a navigator on a spice
freighter."
257,BEN,257,"That's what your uncle told you. He
didn't hold with your father's ideals.
Thought he should have stayed here
and not gotten involved."
258,LUKE,258,You fought in the Clone Wars?
259,BEN,259,"Yes, I was once a Jedi Knight the
same as your father."
260,LUKE,260,I wish I'd known him.
261,BEN,261,"He was the best star-pilot in the
galaxy, and a cunning warrior. I
understand you've become quite a
good pilot yourself. And he was a
good friend. Which reminds me..."
262,BEN,262,"I have something here for you. Your
father wanted you to have this when
you were old enough, but your uncle
wouldn't allow it. He feared you
might follow old Obi-Wan on some
damned-fool idealistic crusade like
your father did."
263,THREEPIO,263,"Sir, if you'll not be needing me,
I'll close down for awhile."
264,LUKE,264,"Sure, go ahead."
265,LUKE,265,What is it?
266,BEN,266,"Your fathers lightsaber. This is the
weapon of a Jedi Knight. Not as clumsy
or as random as a blaster."
267,BEN,267,"An elegant weapon for a more civilized
time. For over a thousand generations
the Jedi Knights were the guardians
of peace and justice in the Old
Republic. Before the dark times,
before the Empire."
268,LUKE,268,How did my father die?
269,BEN,269,"A young Jedi named Darth Vader, who
was a pupil of mine until he turned
to evil, helped the Empire hunt down
and destroy the Jedi Knights. He
betrayed and murdered your father.
Now the Jedi are all but extinct.
Vader was seduced by the dark side
of the Force."
270,LUKE,270,The Force?
271,BEN,271,"Well, the Force is what gives a Jedi
his power. It's an energy field
created by all living things. It
surrounds us and penetrates us. It
binds the galaxy together."
272,BEN,272,"Now, let's see if we can't figure
out what you are, my little friend.
And where you come from."
273,LUKE,273,I saw part of the message he was...
274,BEN,274,I seem to have found it.
275,LEIA,275,"General Kenobi, years ago you served
my father in the Clone Wars. Now he
begs you to help him in his struggle
against the Empire. I regret that I
am unable to present my father's
request to you in person, but my
ship has fallen under attack and I'm
afraid my mission to bring you to
Alderaan has failed. I have placed
information vital to the survival of
the Rebellion into the memory systems
of this R2 unit. My father will know
how to retrieve it. You must see
this droid safely delivered to him
on Alderaan. This is our most
desperate hour. Help me, Obi-Wan
Kenobi, you're my only hope."
276,BEN,276,"You must learn the ways of the Force
if you're to come with me to Alderaan."
277,LUKE,277,"Alderaan? I'm not going to Alderaan.
I've got to go home. It's late, I'm
in for it as it is."
278,BEN,278,"I need your help, Luke. She needs
your help. I'm getting too old for
this sort of thing."
279,LUKE,279,"I can't get involved! I've got work
to do! It's not that I like the
Empire. I hate it! But there's nothing
I can do about it right now. It's
such a long way from here."
280,BEN,280,That's your uncle talking.
281,LUKE,281,"Oh, God, my uncle. How am I ever
going to explain this?"
282,BEN,282,"Learn about the Force, Luke."
283,LUKE,283,"Look, I can take you as far as
Anchorhead. You can get a transport
there to Mos Eisley or wherever you're
going."
284,BEN,284,"You must do what you feel is right,
of course."
285,TAGGE,285,"Until this battle station is fully
operational we are vulnerable. The
Rebel Alliance is too well equipped.
They're more dangerous than you
realize."
286,MOTTI,286,"Dangerous to your starfleet,
Commander, not to this battle station!"
287,TAGGE,287,"The Rebellion will continue to gain
a support in the Imperial Senate as
long as...."
288,TARKIN,288,"The Imperial Senate will no longer
be of any concern to us. I've just
received word that the Emperor has
dissolved the council permanently.
The last remnants of the Old Republic
have been swept away."
289,TAGGE,289,"That's impossible! How will the
Emperor maintain control without the
bureaucracy?"
290,TARKIN,290,"The regional governors now have direct
control over territories. Fear will
keep the local systems in line. Fear
of this battle station."
291,TAGGE,291,"And what of the Rebellion? If the
Rebels have obtained a complete
technical readout of this station,
it is possible, however unlikely,
that they might find a weakness and
exploit it."
292,VADER,292,"The plans you refer to will soon be
back in our hands."
293,MOTTI,293,"Any attack made by the Rebels against
this station would be a useless
gesture, no matter what technical
data they've obtained. This station
is now the ultimate power in the
universe. I suggest we use it!"
294,VADER,294,"Don't be too proud of this
technological terror you've
constructed. The ability to destroy
a planet is insignificant next to
the power of the Force."
295,MOTTI,295,"Don't try to frighten us with your
sorcerer's ways, Lord Vader. Your
sad devotion to that ancient religion
has not helped you conjure up the
stolen data tapes, or given you
clairvoyance enough to find the
Rebel's hidden fort..."
296,VADER,296,I find your lack of faith disturbing.
297,TARKIN,297,"Enough of this! Vader, release him!"
298,VADER,298,As you wish.
299,TARKIN,299,"This bickering is pointless. Lord
Vader will provide us with the
location of the Rebel fortress by
the time this station is operational.
We will then crush the Rebellion
with one swift stroke."
300,LUKE,300,"It looks like Sandpeople did this,
all right. Look, here are Gaffi
sticks, Bantha tracks. It's just...
I never heard of them hitting anything
this big before."
301,BEN,301,"They didn't. But we are meant to
think they did. These tracks are
side by side. Sandpeople always ride
single file to hide there numbers."
302,LUKE,302,"These are the same Jawas that sold
us Artoo and Threepio."
303,BEN,303,"And these blast points, too accurate
for Sandpeople. Only Imperial
stormtroopers are so precise."
304,LUKE,304,"Why would Imperial troops want to
slaughter Jawas?"
305,LUKE,305,"If they traced the robots here, they
may have learned who they sold them
to. And that would lead them home!"
306,BEN,306,"Wait, Luke! It's too dangerous."
307,LUKE,307,Uncle Owen! Aunt Beru! Uncle Owen!
308,VADER,308,"And, now Your Highness, we will
discuss the location of your hidden
Rebel base."
309,BEN,309,"There's nothing you could have done,
Luke, had you been there. You'd have
been killed, too, and the droids
would be in the hands of the Empire."
310,LUKE,310,"I want to come with you to Alderaan.
There's nothing here for me now. I
want to learn the ways of the Force
and become a Jedi like my father."
311,BEN,311,"Mos Eisley Spaceport. You will never
find a more wretched hive of scum
and villainy. We must be cautious."
312,TROOPER,312,How long have you had these droids?
313,LUKE,313,About three or four seasons.
314,BEN,314,They're for sale if you want them.
315,TROOPER,315,Let me see your identification.
316,BEN,316,"You don't need to see his
identification."
317,TROOPER,317,"We don't need to see his
identification."
318,BEN,318,"These are not the droids your looking
for."
319,TROOPER,319,"These are not the droids we're looking
for."
320,BEN,320,He can go about his business.
321,TROOPER,321,You can go about your business.
322,BEN,322,Move along.
323,TROOPER,323,Move along. Move along.
324,THREEPIO,324,"I can't abide these Jawas. Disgusting
creatures."
325,LUKE,325,"Go on, go on. I can't understand how
we got by those troopers. I thought
we were dead."
326,BEN,326,"The Force can have a strong influence
on the weak-minded. You will find it
a powerful ally."
327,LUKE,327,"Do you really think we're going to
find a pilot here that'll take us to
Alderaan?"
328,BEN,328,"Well, most of the best freighter
pilots can be found here. Only watch
your step. This place can be a little
rough."
329,LUKE,329,I'm ready for anything.
330,THREEPIO,330,"Come along, Artoo."
331,BARTENDER,331,We don't serve their kind here!
332,LUKE,332,What?
333,BARTENDER,333,"Your droids. They'll have to wait
outside. We don't want them here."
334,LUKE,334,"Listen, why don't you wait out by
the speeder. We don't want any
trouble."
335,THREEPIO,335,I heartily agree with you sir.
336,CREATURE,336,Negola dewaghi wooldugger?!?
337,HUMAN,337,He doesn't like you.
338,LUKE,338,I'm sorry.
339,HUMAN,339,I don't like you either.
340,HUMAN,340,"Don't insult us. You just watch
yourself. We're wanted men. I have
the death sentence in twelve systems."
341,LUKE,341,I'll be careful than.
342,HUMAN,342,You'll be dead.
343,BEN,343,"This little one isn't worth the
effort. Come let me buy you
something..."
344,BARTENDER,344,No blasters! No blaster!
345,BEN,345,"This is Chewbacca. He's first-mate
on a ship that might suit our needs."
346,THREEPIO,346,I don't like the look of this.
347,HAN,347,"Han Solo. I'm captain of the
Millennium Falcon. Chewie here tells
me you're looking for passage to the
Alderaan system."
348,BEN,348,"Yes, indeed. If it's a fast ship."
349,HAN,349,"Fast ship? You've never heard of the
Millennium Falcon?"
350,BEN,350,Should I have?
351,HAN,351,"It's the ship that made the Kessel
run in less than twelve parsecs!"
352,HAN,352,"I've outrun Imperial starships, not
the local bulk-cruisers, mind you.
I'm talking about the big Corellian
ships now. She's fast enough for
you, old man. What's the cargo?"
353,BEN,353,"Only passengers. Myself, the boy,
two droids, and no questions asked."
354,HAN,354,"What is it? Some kind of local
trouble?"
355,BEN,355,"Let's just say we'd like to avoid
any Imperial entanglements."
356,HAN,356,"Well, that's the trick, isn't it?
And it's going to cost you something
extra. Ten thousand in advance."
357,LUKE,357,"Ten thousand? We could almost buy
our own ship for that!"
358,HAN,358,"But who's going to fly it, kid! You?"
359,LUKE,359,"You bet I could. I'm not such a bad
pilot myself! We don't have to sit
here and listen..."
