,character,line #,line
329,NATHAN,329,"Yes, yes, you said that on the phone.
*Must* I point out to you that the
letters in the name SAM CAINE, when
rearranged, spell out AMNESIAC? Your
mind was missing a name, so it simple
invented one that was an anagram of
your current condition."
330,NATHAN,330,"Dammit, Charly. The schoolteacher,
that was your cover! Your memory was
gone, you got confused and you BOUGHT
YOUR OWN COVER. This ridiculous Ohio
housewife business, it's a fantasy,
you *wrote* the bloody thing!"
331,SAMANTHA,331,"It's not a fantasy, *I'm in the
fucking PTA*."
332,NATHAN,332,"Then quit. You're an assassin for
the United States government."
333,NATHAN,333,"I ought to know, I trained you."
334,HENESSEY,334,Beautiful. Fuckin' beautiful.
335,HENESSEY,335,*What happened to bulletproof*?
336,NATHAN,336,"*The side windows were next, I swear*."
337,NATHAN,337,"Here, you might as well have one
too."
338,SAMANTHA,338,My God. How many do you carry?
339,NATHAN,339,"Three. One shoulder, one hip, and
one right next to Mr. Wally --"
340,NATHAN,340,"Where most patdowns never reveal it,
as an agent is often reluctant to
feel up another man's groin."
341,HENESSEY,341,Got a tail.
342,NATHAN,342,"Lucky bastard found the only cool
car in the fucking midwest."
343,NATHAN,343,"Your father was in the British SIS,
assigned to the Irish situation.
After he was murdered in 1971, his
friend Perkins recruited you for
Chapter, a black bag operation working
out of the U.S. State Department."
344,NATHAN,344,"Fall, 1987: Presidential orders come
down. You're to flush out a terrorist
by the name of Daedalus. You never
complete the mission, electing instead
to die, of all things, despite clear
orders to the contrary. And dead you
remain until, without preamble, you
re-emerge, eight years later and
fifteen pounds heavier."
345,SAMANTHA,345,Would you lay off the weight?
346,NATHAN,346,"I think we can safely assume Daedalus
is aware of your resurrection and is
attempting to reverse it. *Damn*, I
can't drive around in this thing."
347,NATHAN,347,"Any idea where we can go to stash
this car?"
348,SAMANTHA,348,"This address...? I... I recognize it
now. I think it belongs to a friend."
349,NATHAN,349,Perhaps you'd best drive.
350,SAMANTHA,350,"Don't be afraid, we don't want to
hurt you."
351,SAMANTHA,351,I just want to know who you are.
352,MAN,352,"CHARLY, BABY!!"
353,LUKE,353,"Look, is this America's Funniest
Practical Videos or something?"
