,character,line #,line
229,BRIGHAM,229,"Listen, I hope you never need a thing
I've taught you. But you've got
something... Jack sees it, I do too.
If you ever need to, you can shoot."
230,BRIGHAM,230,"Bless you, Starling..."
231,CRAWFORD (O.S.),231,He keeps them alive for three days.
232,CRAWFORD,232,"Why, we don't yet know... There's no
evidence of rape or physical abuse
prior to death. All the mutilation
you see there is post-mortem."
233,CRAWFORD,233,"I'm hot, are you hot? Bobby, it's
too damned hot back here..."
234,CRAWFORD,234,"So. Three days. Then he shoots them,
skins them - usually just the torsos -
and dumps them. Each body in a
different river, in a different state,
downstream from an interstate highway.
The water leaves us no fingerprints,
fibers, DNA fluids - no trace evidence
at all. That's Fredrica Bimmel, the
first one..."
235,CRAWFORD (O.S.),235,"A big girl, like all the rest. Went
about 160... Her corpse was the only
one he took the trouble to weight
down, so actually, she was the third
girl found. After her, he got lazy..."
236,CRAWFORD,236,"Blue square for Belvedere, Ohio,
where the Bimmel girl was abducted.
Blue triangle where her body was
found - down here in Missouri. Same
marks for the other four girls, in
different colors. This new one,
today... washed up here."
237,CRAWFORD,237,"Elk River, in West Virginia, about
six miles below U.S. 79. Real boonies."
238,CLARICE,238,"There's no correlation at all between
where they're kidnapped and where
they're found...?"
239,CLARICE,239,"What if - what if you trace the
heaviest-traffic routes backwards
from the dump sites? Do they converge
at all?"
240,CRAWFORD,240,"Good idea, but he thought of it,
too. We've run simulations, using
different vectors and the best dates
we can assign. You put it all in the
computer, and smoke comes out. No,
this one is different. This one has
seen us coming..."
241,CRAWFORD,241,"Talk about him, Starling. Tell me
what you see."
242,CLARICE,242,"He's a white male... Serial killers
tend to hunt within their own ethnic
group. And he's not a drifter - he's
got his own house, somewhere. Not an
apartment."
243,CRAWFORD,243,Why?
244,CLARICE,244,"What he does with them - takes
privacy... Time, tools... He's in
his 30's or 40's - he's got real
physical strength, but combined with
an older man's self-control. He's
cautious, precise, never impulsive...
This won't end in suicide, like they
often do."
245,CRAWFORD,245,Why not?
246,CLARICE,246,"He's got a real taste for it now.
And he's getting better at his work."
247,CRAWFORD,247,"Maybe you've got a knack for this...
I guess we're about to find out."
248,CLARICE,248,"Like I have a ""knack"" for Dr. Lecter?"
249,CRAWFORD,249,"Okay, Starling. Let's have it."
250,CLARICE,250,"You haven't said a word today about
that garage. Or what I found there."
251,CRAWFORD,251,"What should I say? You did fine work.
We'll wait on the lab."
252,CLARICE,252,"You knew. You knew from the start
that Lecter held the key to this...
But you weren't up front with me.
You sent me in to him naked."
253,CRAWFORD,253,Are you finished?
254,CLARICE,254,"He starts this - buzzing in me, in
my head. He makes me feel violated...
You used me, Mr. Crawford."
255,CRAWFORD,255,"Number One. Maybe there's a
connection, maybe not. Lying and
breathing are the same thing to
Lecter. Number Two. If I'd sent you
in there with something to hide from
him, he'd have known it, instantly.
He'd never have trusted you."
256,CRAWFORD,256,"Number Three, I didn't bring you
along today just because you can do
first-rate forensics. If Lecter is
becoming part of this case, you've
got the most current read on him.
And Number Four - you don't have to
like me, or the way I do things. But
you do have to keep a cool head.
Especially now... Because from here
on out, you'll know everything I do.
Are we straight on that?"
257,CRAWFORD,257,"You think about him long enough, you
get a feel for him... Then, if you're
lucky, out of all the stuff you know,
one little part of it tugs at you,
tries to get your attention... You
let me know when that happens,
Starling. Live right behind your
eyes, today. Don't try to impose any
patterns on this guy. Just stay open
and let him show you..."
258,CRAWFORD,258,"School's out, Starling."
259,CRAWFORD (V.O.),259,Starling...?
260,CRAWFORD,260,We're around back.
261,CRAWFORD,261,"Sheriff Perkins? Jack Crawford, FBI...
This is Officer Starling. We
appreciate your phoning us."
262,SHERIFF,262,"I didn't call you. That was somebody
from the state attorney's office...
'For you do a thing else, I'm gon'
find out if this girl's local. It
could just be somethin' that outside
elements has dumped on us."
263,CRAWFORD,263,"Well sir, that's where we can help.
If -"
264,SHERIFF,264,"I don't even know you, Mister... Now
we'll extend you ever courtesy, just
soon as we can, but for right now -"
265,CRAWFORD,265,"Sheriff, this, ah - this type of sex
crime has some aspects I'd rather
discuss just between the two of us.
Know what I mean?"
266,SHERIFF,266,"Oscar, run fetch Dr. Akin from the
chapel. And tell Lamar to come on
when he's done playin' that music."
267,CRAWFORD,267,"I need a six-way linkup! Chicago,
Detroit, Cleveland, St. Louis,
Atlanta, and Dallas... What?... Can
you hear me...?"
268,CLARICE,268,"Gentlemen. You officers and gentlemen!
Listen here a minute, please. There's
things I need to do for her..."
269,CLARICE (O.S.),269,"Y'all brought her this far, and I
know her folks would thank you if
they could. Now please - go on out
and let me take care of her... Go
on, now."
270,CRAWFORD,270,"We're starting. Tell everybody to
stand by for fingerprint transmission."
271,CLARICE,271,Bill...
272,DR. AKIN,272,"Wrongful death... She'll have to go
to the state pathologist at Claxton
when you're done."
273,DR. AKIN,273,"I better - get on back for the rest
of that service. Lamar'll help you."
274,DR. AKIN,274,Lord almighty...
275,CRAWFORD,275,"What do you see, Starling?"
